Updates_To_Network,Average_Score 
72,2.0
170,1.5
397,2.6666666666666665
459,2.0
535,1.8
607,1.6666666666666667
678,1.5714285714285714
750,1.5
785,1.3333333333333333
847,1.2
995,1.3636363636363635
1104,1.4166666666666667
1217,1.4615384615384615
1326,1.5
1460,1.5333333333333334
1594,1.5625
1820,1.7647058823529411
1882,1.6666666666666667
2016,1.6842105263157894
2114,1.65
2176,1.5714285714285714
2318,1.6363636363636365
2468,1.6956521739130435
2503,1.625
2653,1.68
2787,1.6923076923076923
2849,1.6296296296296295
3060,1.7142857142857142
3322,1.8620689655172413
3384,1.8
3450,1.7419354838709677
3632,1.8125
3700,1.7878787878787878
3810,1.7941176470588236
3908,1.7714285714285714
4022,1.7777777777777777
4156,1.7837837837837838
4339,1.8421052631578947
4437,1.8205128205128205
4534,1.8
4632,1.7804878048780488
4706,1.7619047619047619
4816,1.7674418604651163
4960,1.7954545454545454
5022,1.7555555555555555
5084,1.7173913043478262
5159,1.702127659574468
5221,1.6666666666666667
5323,1.653061224489796
5385,1.62
5600,1.6666666666666667
5847,1.7307692307692308
6022,1.7547169811320755
6354,1.8703703703703705
6755,2.0
6889,2.0
6967,1.9824561403508771
7029,1.9482758620689655
7331,2.0338983050847457
7408,2.0166666666666666
7542,2.0163934426229506
7733,2.0483870967741935
7831,2.0317460317460316
7893,2.0
7955,1.9692307692307693
8053,1.9545454545454546
8192,1.9701492537313432
8319,1.9705882352941178
8381,1.9420289855072463
8485,1.9428571428571428
8583,1.9295774647887325
8717,1.9305555555555556
8851,1.9315068493150684
9073,1.972972972972973
9284,2.0
9418,2.0
9604,2.0259740259740258
9666,2.0
10006,2.0759493670886076
10140,2.075
10254,2.074074074074074
10670,2.1707317073170733
10768,2.1566265060240966
10942,2.1666666666666665
11017,2.152941176470588
11079,2.127906976744186
11134,2.103448275862069
11196,2.0795454545454546
11270,2.067415730337079
11368,2.0555555555555554
11481,2.0549450549450547
11558,2.0434782608695654
11785,2.075268817204301
11898,2.074468085106383
12158,2.1157894736842104
12234,2.1041666666666665
12368,2.1030927835051547
12430,2.0816326530612246
12602,2.090909090909091
12777,2.1
13040,2.1386138613861387
13116,2.127450980392157
13327,2.145631067961165
13685,2.201923076923077
14061,2.2666666666666666
14159,2.2547169811320753
14221,2.2336448598130842
14468,2.259259259259259
14543,2.2477064220183487
14835,2.2818181818181817
14969,2.279279279279279
15117,2.2857142857142856
15328,2.3008849557522124
15405,2.289473684210526
15483,2.2782608695652176
15596,2.2758620689655173
15694,2.264957264957265
15771,2.2542372881355934
16075,2.2941176470588234
16152,2.283333333333333
16228,2.272727272727273
16475,2.2950819672131146
16623,2.3008130081300813
16721,2.2903225806451615
16830,2.288
17149,2.3253968253968256
17586,2.3858267716535435
17661,2.375
17736,2.364341085271318
17983,2.3846153846153846
18059,2.3740458015267176
18135,2.3636363636363638
18233,2.3533834586466167
18311,2.343283582089552
18460,2.348148148148148
18650,2.360294117647059
18861,2.372262773722628
19063,2.3840579710144927
19289,2.402877697841727
19705,2.4571428571428573
19909,2.4680851063829787
20043,2.464788732394366
20120,2.4545454545454546
20194,2.4444444444444446
20384,2.4551724137931035
20494,2.452054794520548
20754,2.4761904761904763
20961,2.4864864864864864
21035,2.476510067114094
21107,2.466666666666667
21183,2.456953642384106
21260,2.4473684210526314
21447,2.457516339869281
21593,2.461038961038961
21668,2.4516129032258065
21744,2.4423076923076925
21822,2.43312101910828
21900,2.4240506329113924
22047,2.4276729559748427
22159,2.425
22305,2.4285714285714284
22403,2.419753086419753
22517,2.4171779141104293
22593,2.408536585365854
22703,2.4060606060606062
22777,2.397590361445783
22875,2.3892215568862274
23065,2.3988095238095237
23292,2.4142011834319526
23366,2.4058823529411764
23513,2.409356725146199
23623,2.4069767441860463
23770,2.4104046242774566
23832,2.396551724137931
23966,2.394285714285714
24213,2.409090909090909
24288,2.401129943502825
24438,2.404494382022472
24529,2.3966480446927374
24641,2.3944444444444444
24714,2.386740331491713
24861,2.39010989010989
25006,2.3934426229508197
25068,2.380434782608696
25179,2.3783783783783785
25252,2.370967741935484
25400,2.374331550802139
25556,2.377659574468085
25633,2.3703703703703702
25711,2.363157894736842
25787,2.356020942408377
25901,2.3541666666666665
25977,2.3471502590673574
26089,2.345360824742268
26234,2.348717948717949
26445,2.357142857142857
26532,2.350253807106599
26608,2.3434343434343434
26670,2.3316582914572863
26744,2.325
26856,2.3233830845771144
27005,2.3267326732673266
27081,2.3201970443349755
27157,2.3137254901960786
27232,2.3073170731707315
27309,2.3009708737864076
27433,2.2995169082125604
27509,2.293269230769231
27622,2.291866028708134
27693,2.2857142857142856
27940,2.2985781990521326
28015,2.292452830188679
28093,2.2863849765258215
28171,2.2803738317757007
28245,2.2744186046511627
28358,2.2731481481481484
28434,2.2672811059907834
28532,2.261467889908257
28609,2.2557077625570776
28800,2.2636363636363637
28947,2.266968325791855
29076,2.265765765765766
29287,2.273542600896861
29362,2.267857142857143
29460,2.2622222222222224
29683,2.274336283185841
29871,2.2819383259911894
29957,2.276315789473684
30030,2.2707423580786026
30115,2.265217391304348
30451,2.29004329004329
30721,2.3060344827586206
30832,2.3047210300429186
31192,2.3290598290598292
31269,2.323404255319149
31343,2.3177966101694913
31454,2.3164556962025316
31532,2.310924369747899
31680,2.3138075313807533
32018,2.3375
32132,2.336099585062241
32323,2.34297520661157
32400,2.337448559670782
32498,2.331967213114754
32596,2.326530612244898
32710,2.3252032520325203
32900,2.331983805668016
33013,2.3306451612903225
33087,2.325301204819277
33200,2.324
33278,2.318725099601594
33352,2.3134920634920637
33429,2.308300395256917
33542,2.3070866141732282
33731,2.3137254901960786
33906,2.31640625
33983,2.311284046692607
34105,2.310077519379845
34481,2.335907335907336
34721,2.3461538461538463
34799,2.3409961685823757
34877,2.33587786259542
35026,2.338403041825095
35215,2.3446969696969697
35325,2.3433962264150945
35423,2.338345864661654
35501,2.3333333333333335
35840,2.3544776119402986
35953,2.353159851301115
36215,2.3666666666666667
36291,2.3616236162361623
36515,2.3713235294117645
36591,2.3663003663003663
36689,2.3613138686131387
36766,2.3563636363636364
36844,2.351449275362319
36922,2.3465703971119134
37452,2.384892086330935
37869,2.412186379928315
38132,2.425
38282,2.4270462633451957
38571,2.4397163120567376
39085,2.4734982332155475
39332,2.482394366197183
39478,2.4842105263157896
39704,2.493006993006993
39928,2.5017421602787455
40076,2.5034722222222223
40753,2.5536332179930796
40865,2.5517241379310347
41112,2.5601374570446733
41676,2.5993150684931505
41887,2.6040955631399316
41961,2.598639455782313
42208,2.606779661016949
42455,2.614864864864865
42612,2.6161616161616164
42802,2.620805369127517
43064,2.632107023411371
43140,2.6266666666666665
43202,2.617940199335548
43562,2.6357615894039736
43936,2.6567656765676566
44034,2.651315789473684
44168,2.6491803278688524
44316,2.650326797385621
44391,2.6449511400651464
44489,2.6396103896103895
44566,2.634304207119741
44790,2.641935483870968
44924,2.639871382636656
45022,2.6346153846153846
45649,2.6741214057507987
46050,2.694267515923567
46112,2.6857142857142855
46174,2.6772151898734178
46308,2.675078864353312
46605,2.688679245283019
46852,2.695924764890282
46914,2.6875
47174,2.6978193146417446
47236,2.68944099378882
47407,2.6904024767801857
47595,2.6944444444444446
47669,2.689230769230769
47731,2.6809815950920246
47793,2.672782874617737
47891,2.667682926829268
48251,2.683890577507599
48495,2.690909090909091
48855,2.706948640483384
48965,2.7048192771084336
49050,2.6996996996997
49410,2.715568862275449
49472,2.707462686567164
49570,2.7023809523809526
49704,2.7002967359050447
49766,2.6923076923076925
50352,2.725663716814159
50676,2.738235294117647
50851,2.7390029325513194
