Updates_To_Network,Average_Score
3709,143.0
8779,138.0
13397,132.33333333333334
17938,129.0
18411,105.4
19865,94.0
26,0.0
88,0.0
142,0.0
197,0.0
259,0.0
319,0.0
378,0.0
430,0.0
491,0.0
551,0.0
591,0.0
641,0.0
703,0.0
765,0.0
824,0.0
883,0.0
922,0.0
981,0.0
1036,0.0
1087,0.0
1145,0.0
1207,0.0
1252,0.0
1303,0.0
1347,0.0
1393,0.0
1440,0.0
1490,0.0
1555,0.0
1596,0.0
1644,0.0
1695,0.0
1751,0.0
1811,0.0
1854,0.0
1915,0.0
1967,0.0
2028,0.0
2090,0.0
2140,0.0
2187,0.0
2240,0.0
2302,0.0
2342,0.0
2379,0.0
2434,0.0
2495,0.0
2557,0.0
2619,0.0
2668,0.0
2720,0.0
2782,0.0
2844,0.0
2893,0.0
2949,0.0
2991,0.0
3036,0.0
3095,0.0
3157,0.0
3215,0.0
3262,0.0
3308,0.0
3370,0.0
3432,0.0
3487,0.0
3539,0.0
3601,0.0
3654,0.0
3696,0.0
3754,0.0
3811,0.0
3865,0.0
3910,0.0
3963,0.0
4015,0.0
4059,0.0
4115,0.0
4167,0.0
4224,0.0
4273,0.0
4318,0.0
4364,0.0
4415,0.0
4477,0.0
4521,0.0
4560,0.0
4622,0.0
4684,0.0
4724,0.0
4785,0.0
4833,0.0
4888,0.0
4975,0.010752688172043012
5037,0.010638297872340425
5099,0.010526315789473684
5160,0.010416666666666666
5210,0.010309278350515464
5267,0.01020408163265306
5319,0.010101010101010102
5359,0.01
5420,0.009900990099009901
5480,0.00980392156862745
5542,0.009708737864077669
5604,0.009615384615384616
5645,0.009523809523809525
5694,0.009433962264150943
5740,0.009345794392523364
5785,0.009259259259259259
5826,0.009174311926605505
5868,0.00909090909090909
5915,0.009009009009009009
5977,0.008928571428571428
6031,0.008849557522123894
6075,0.008771929824561403
6137,0.008695652173913044
6198,0.008620689655172414
6260,0.008547008547008548
6322,0.00847457627118644
6374,0.008403361344537815
6418,0.008333333333333333
6480,0.008264462809917356
6542,0.00819672131147541
6587,0.008130081300813009
6649,0.008064516129032258
6702,0.008
6753,0.007936507936507936
6812,0.007874015748031496
6849,0.0078125
6905,0.007751937984496124
6951,0.007692307692307693
7010,0.007633587786259542
7067,0.007575757575757576
7129,0.007518796992481203
7187,0.007462686567164179
7243,0.007407407407407408
7305,0.007352941176470588
7354,0.0072992700729927005
7392,0.007246376811594203
7453,0.007194244604316547
7504,0.007142857142857143
7566,0.0070921985815602835
7627,0.007042253521126761
7684,0.006993006993006993
7746,0.006944444444444444
7795,0.006896551724137931
7841,0.00684931506849315
7897,0.006802721088435374
7951,0.006756756756756757
7994,0.006711409395973154
8040,0.006666666666666667
8088,0.006622516556291391
8144,0.006578947368421052
8195,0.006535947712418301
8250,0.006493506493506494
8297,0.0064516129032258064
8349,0.00641025641025641
8401,0.006369426751592357
8461,0.006329113924050633
8517,0.006289308176100629
8566,0.00625
8616,0.006211180124223602
8672,0.006172839506172839
8722,0.006134969325153374
8771,0.006097560975609756
8826,0.006060606060606061
8871,0.006024096385542169
8921,0.005988023952095809
8976,0.005952380952380952
9027,0.005917159763313609
9074,0.0058823529411764705
9123,0.005847953216374269
9185,0.005813953488372093
9247,0.005780346820809248
9297,0.005747126436781609
9354,0.005714285714285714
9405,0.005681818181818182
9441,0.005649717514124294
9490,0.0056179775280898875
9552,0.00558659217877095
9597,0.005555555555555556
9654,0.0055248618784530384
9710,0.005494505494505495
9751,0.00546448087431694
9789,0.005434782608695652
9842,0.005405405405405406
9899,0.005376344086021506
9951,0.0053475935828877
10013,0.005319148936170213
10075,0.005291005291005291
10131,0.005263157894736842
10184,0.005235602094240838
10227,0.005208333333333333
10267,0.0051813471502590676
10329,0.005154639175257732
10381,0.005128205128205128
10428,0.00510204081632653
10478,0.005076142131979695
10529,0.005050505050505051
10591,0.005025125628140704
10653,0.005
10700,0.004975124378109453
10759,0.0049504950495049506
10816,0.0049261083743842365
10874,0.004901960784313725
10936,0.004878048780487805
10984,0.0048543689320388345
11046,0.004830917874396135
11108,0.004807692307692308
11170,0.004784688995215311
11222,0.004761904761904762
11281,0.004739336492890996
11327,0.0047169811320754715
11374,0.004694835680751174
11430,0.004672897196261682
11485,0.004651162790697674
11530,0.004629629629629629
11592,0.004608294930875576
11639,0.0045871559633027525
11693,0.0045662100456621
11744,0.004545454545454545
11799,0.004524886877828055
11851,0.0045045045045045045
11909,0.004484304932735426
11971,0.004464285714285714
12033,0.0044444444444444444
12078,0.004424778761061947
12135,0.004405286343612335
12197,0.0043859649122807015
12259,0.004366812227074236
12317,0.004347826086956522
12372,0.004329004329004329
12426,0.004310344827586207
12488,0.004291845493562232
12529,0.004273504273504274
12591,0.00425531914893617
12652,0.00423728813559322
12714,0.004219409282700422
12776,0.004201680672268907
12821,0.0041841004184100415
12866,0.004166666666666667
12918,0.004149377593360996
12978,0.004132231404958678
13040,0.00411522633744856
13083,0.004098360655737705
13138,0.004081632653061225
13199,0.0040650406504065045
13261,0.004048582995951417
13302,0.004032258064516129
13358,0.004016064257028112
13420,0.004
13479,0.00398406374501992
13540,0.003968253968253968
13585,0.003952569169960474
13633,0.003937007874015748
13680,0.00392156862745098
13727,0.00390625
13783,0.0038910505836575876
13850,0.007751937984496124
13900,0.007722007722007722
13955,0.007692307692307693
13994,0.007662835249042145
14042,0.007633587786259542
14104,0.0076045627376425855
14144,0.007575757575757576
14206,0.007547169811320755
14237,0.007518796992481203
14294,0.00749063670411985
14356,0.007462686567164179
14401,0.007434944237918215
14463,0.007407407407407408
14525,0.007380073800738007
14573,0.007352941176470588
14630,0.007326007326007326
14692,0.0072992700729927005
14735,0.007272727272727273
14792,0.007246376811594203
14836,0.007220216606498195
14886,0.007194244604316547
14935,0.007168458781362007
14991,0.007142857142857143
15047,0.0071174377224199285
15097,0.0070921985815602835
15172,0.01060070671378092
15234,0.01056338028169014
15296,0.010526315789473684
15358,0.01048951048951049
15420,0.010452961672473868
15482,0.010416666666666666
15532,0.010380622837370242
15585,0.010344827586206896
15647,0.010309278350515464
15707,0.010273972602739725
15742,0.010238907849829351
15802,0.01020408163265306
15864,0.010169491525423728
15907,0.010135135135135136
15954,0.010101010101010102
15996,0.010067114093959731
16058,0.010033444816053512
16120,0.01
16186,0.009966777408637873
16235,0.009933774834437087
16285,0.009900990099009901
16332,0.009868421052631578
16378,0.009836065573770493
16429,0.00980392156862745
16475,0.009771986970684038
16529,0.00974025974025974
16577,0.009708737864077669
16639,0.00967741935483871
16690,0.00964630225080386
16749,0.009615384615384616
16810,0.009584664536741214
16858,0.009554140127388535
16912,0.009523809523809525
16974,0.00949367088607595
17023,0.00946372239747634
17060,0.009433962264150943
17093,0.009404388714733543
17147,0.009375
17209,0.009345794392523364
17254,0.009316770186335404
17307,0.009287925696594427
17363,0.009259259259259259
17403,0.009230769230769232
17444,0.009202453987730062
17494,0.009174311926605505
17537,0.009146341463414634
17596,0.00911854103343465
17637,0.00909090909090909
17691,0.00906344410876133
17753,0.009036144578313253
17815,0.009009009009009009
17868,0.008982035928143712
17907,0.008955223880597015
17970,0.008928571428571428
18018,0.008902077151335312
18080,0.008875739644970414
18142,0.008849557522123894
18183,0.008823529411764706
18239,0.008797653958944282
18292,0.008771929824561403
18335,0.008746355685131196
18394,0.00872093023255814
18445,0.008695652173913044
18495,0.008670520231213872
18539,0.008645533141210375
18593,0.008620689655172414
18645,0.008595988538681949
18697,0.008571428571428572
18752,0.008547008547008548
18794,0.008522727272727272
18853,0.0084985835694051
18915,0.00847457627118644
18970,0.008450704225352112
19032,0.008426966292134831
19074,0.008403361344537815
19121,0.008379888268156424
19167,0.008356545961002786
19229,0.008333333333333333
19291,0.008310249307479225
19345,0.008287292817679558
19396,0.008264462809917356
19458,0.008241758241758242
19508,0.00821917808219178
19550,0.00819672131147541
19590,0.008174386920980926
19652,0.008152173913043478
19710,0.008130081300813009
19777,0.010810810810810811
19835,0.01078167115902965
19890,0.010752688172043012
19942,0.010723860589812333
19986,0.0106951871657754
20042,0.010666666666666666
20104,0.010638297872340425
20166,0.010610079575596816
20223,0.010582010582010581
20267,0.010554089709762533
20321,0.010526315789473684
20379,0.010498687664041995
20422,0.010471204188481676
20484,0.010443864229765013
20539,0.010416666666666666
20595,0.01038961038961039
20634,0.010362694300518135
20683,0.0103359173126615
20740,0.010309278350515464
20801,0.010282776349614395
20857,0.010256410256410256
20907,0.010230179028132993
20974,0.012755102040816327
21028,0.01272264631043257
21075,0.012690355329949238
21117,0.012658227848101266
21173,0.012626262626262626
21214,0.012594458438287154
21274,0.01256281407035176
21336,0.012531328320802004
21390,0.0125
21452,0.012468827930174564
21498,0.012437810945273632
21556,0.01240694789081886
21618,0.012376237623762377
21671,0.012345679012345678
21717,0.012315270935960592
21779,0.012285012285012284
21834,0.012254901960784314
21878,0.012224938875305624
21924,0.012195121951219513
21968,0.012165450121654502
22023,0.012135922330097087
22066,0.012106537530266344
22114,0.012077294685990338
22176,0.012048192771084338
22238,0.01201923076923077
22283,0.011990407673860911
22345,0.011961722488038277
22400,0.011933174224343675
22455,0.011904761904761904
22515,0.011876484560570071
22573,0.011848341232227487
22635,0.01182033096926714
22673,0.01179245283018868
22715,0.011764705882352941
22777,0.011737089201877934
22826,0.0117096018735363
22872,0.011682242990654205
22934,0.011655011655011656
22996,0.011627906976744186
23045,0.01160092807424594
23111,0.011574074074074073
23168,0.011547344110854504
23214,0.01152073732718894
23269,0.011494252873563218
23331,0.011467889908256881
23400,0.013729977116704805
23462,0.0136986301369863
23527,0.01366742596810934
23580,0.013636363636363636
23638,0.013605442176870748
23688,0.013574660633484163
23733,0.013544018058690745
23787,0.013513513513513514
23841,0.01348314606741573
23890,0.013452914798206279
23937,0.013422818791946308
24015,0.015625
24077,0.015590200445434299
24139,0.015555555555555555
24201,0.015521064301552107
24247,0.015486725663716814
24288,0.01545253863134658
24343,0.015418502202643172
24395,0.015384615384615385
24449,0.015350877192982455
24495,0.015317286652078774
24539,0.015283842794759825
24595,0.015250544662309368
24649,0.015217391304347827
24711,0.015184381778741865
24752,0.015151515151515152
24805,0.01511879049676026
24867,0.015086206896551725
24924,0.015053763440860216
24986,0.015021459227467811
25027,0.014989293361884369
25089,0.014957264957264958
25151,0.014925373134328358
25200,0.014893617021276596
25255,0.014861995753715499
25300,0.014830508474576272
25362,0.014799154334038054
