Updates_To_Network,Average_Score
2014,0.0
2066,0.0
2111,0.0
2167,0.0
2219,0.0
2278,0.0
2338,0.0
2398,0.0
2446,0.0
2491,0.0
2598,0.0
2656,0.0
2703,0.0
2760,0.0
2817,0.0
2879,0.0
2941,0.0
2983,0.0
3035,0.0
3097,0.0
3205,0.0
3272,0.045454545454545456
3334,0.043478260869565216
3390,0.041666666666666664
3452,0.04
3514,0.038461538461538464
3576,0.037037037037037035
3638,0.03571428571428571
3702,0.034482758620689655
3764,0.03333333333333333
3882,0.03225806451612903
3936,0.03125
3998,0.030303030303030304
4063,0.029411764705882353
4134,0.05714285714285714
4196,0.05555555555555555
4258,0.05405405405405406
4320,0.05263157894736842
4382,0.05128205128205128
4457,0.075
4586,0.0975609756097561
4687,0.11904761904761904
4749,0.11627906976744186
4805,0.11363636363636363
4899,0.13333333333333333
4961,0.13043478260869565
5023,0.1276595744680851
5072,0.125
5134,0.12244897959183673
5196,0.12
5319,0.11764705882352941
5381,0.11538461538461539
5443,0.11320754716981132
5498,0.1111111111111111
5560,0.10909090909090909
5616,0.10714285714285714
5678,0.10526315789473684
5724,0.10344827586206896
5786,0.1016949152542373
5833,0.1
5957,0.09836065573770492
6019,0.0967741935483871
6076,0.09523809523809523
6138,0.09375
6200,0.09230769230769231
6255,0.09090909090909091
6317,0.08955223880597014
6379,0.08823529411764706
6455,0.10144927536231885
6504,0.1
6663,0.11267605633802817
6725,0.1111111111111111
6787,0.1095890410958904
6849,0.10810810810810811
6947,0.12
7009,0.11842105263157894
7071,0.11688311688311688
7133,0.11538461538461539
7206,0.12658227848101267
7268,0.125
7437,0.12345679012345678
7499,0.12195121951219512
7561,0.12048192771084337
7623,0.11904761904761904
7685,0.11764705882352941
7747,0.11627906976744186
7803,0.11494252873563218
7865,0.11363636363636363
7923,0.11235955056179775
7985,0.1111111111111111
8111,0.10989010989010989
8173,0.10869565217391304
8230,0.10752688172043011
8292,0.10638297872340426
8356,0.10526315789473684
8418,0.10416666666666667
8482,0.10309278350515463
8580,0.11224489795918367
8639,0.1111111111111111
8701,0.11
8825,0.10891089108910891
8892,0.11764705882352941
8954,0.11650485436893204
9016,0.11538461538461539
9078,0.11428571428571428
9140,0.11320754716981132
9217,0.12149532710280374
9279,0.12037037037037036
9341,0.11926605504587157
9416,0.12727272727272726
9540,0.12612612612612611
9614,0.13392857142857142
9676,0.13274336283185842
9742,0.13157894736842105
9809,0.1391304347826087
9898,0.14655172413793102
9960,0.1452991452991453
10065,0.16101694915254236
10163,0.16806722689075632
10239,0.175
10370,0.18181818181818182
10444,0.1885245901639344
10506,0.18699186991869918
10568,0.18548387096774194
10630,0.184
10692,0.18253968253968253
10754,0.18110236220472442
10816,0.1796875
10875,0.17829457364341086
10937,0.17692307692307693
11061,0.17557251908396945
11159,0.18181818181818182
11221,0.18045112781954886
11283,0.1791044776119403
11347,0.17777777777777778
11409,0.17647058823529413
11469,0.17518248175182483
11531,0.17391304347826086
11590,0.17266187050359713
11652,0.17142857142857143
11776,0.1702127659574468
11838,0.16901408450704225
11900,0.16783216783216784
11998,0.1736111111111111
12060,0.1724137931034483
12158,0.1780821917808219
12220,0.17687074829931973
12276,0.17567567567567569
12338,0.174496644295302
12406,0.18
12530,0.17880794701986755
12592,0.17763157894736842
12654,0.17647058823529413
12716,0.17532467532467533
12778,0.17419354838709677
12840,0.17307692307692307
12902,0.17197452229299362
12964,0.17088607594936708
13026,0.16981132075471697
13089,0.16875
13213,0.16770186335403728
13280,0.1728395061728395
13388,0.18404907975460122
13442,0.18292682926829268
13507,0.18181818181818182
13569,0.18072289156626506
13631,0.17964071856287425
13693,0.17857142857142858
13755,0.17751479289940827
13817,0.17647058823529413
13947,0.17543859649122806
14009,0.1744186046511628
14107,0.1791907514450867
14169,0.1781609195402299
14231,0.17714285714285713
14293,0.17613636363636365
14357,0.1751412429378531
14419,0.17415730337078653
14481,0.17318435754189945
14543,0.17222222222222222
14713,0.1712707182320442
14786,0.17582417582417584
14848,0.17486338797814208
14910,0.17391304347826086
14981,0.1783783783783784
15043,0.1774193548387097
15109,0.17647058823529413
15171,0.17553191489361702
15233,0.1746031746031746
15297,0.1736842105263158
15421,0.17277486910994763
15483,0.171875
15545,0.17098445595854922
15607,0.17010309278350516
15669,0.16923076923076924
15731,0.1683673469387755
15820,0.17258883248730963
15882,0.1717171717171717
15944,0.1708542713567839
16006,0.17
16130,0.1691542288557214
16192,0.16831683168316833
16254,0.16748768472906403
16331,0.1715686274509804
16393,0.17073170731707318
16455,0.16990291262135923
16561,0.178743961352657
16607,0.1778846153846154
16678,0.18181818181818182
16742,0.18095238095238095
16866,0.18009478672985782
16928,0.1792452830188679
17062,0.18779342723004694
17131,0.19158878504672897
17193,0.19069767441860466
17246,0.18981481481481483
17323,0.1935483870967742
17385,0.1926605504587156
17447,0.1917808219178082
17525,0.19545454545454546
25837,3.0
25911,2.0
25987,1.6666666666666667
26049,1.25
26121,1.2
26184,1.0
26318,1.1428571428571428
26606,1.75
26714,1.7777777777777777
26788,1.7
27137,1.9090909090909092
27235,1.8333333333333333
27349,1.8461538461538463
27450,1.7857142857142858
27516,1.6666666666666667
27590,1.625
27688,1.588235294117647
27750,1.5
27820,1.4736842105263157
27882,1.4
28105,1.380952380952381
28179,1.3636363636363635
28246,1.3478260869565217
28344,1.3333333333333333
28407,1.28
28509,1.2692307692307692
28643,1.2962962962962963
28705,1.25
28767,1.206896551724138
28844,1.2
29081,1.1612903225806452
29292,1.25
29390,1.2424242424242424
29601,1.3235294117647058
29760,1.3714285714285714
29822,1.3333333333333333
29920,1.3243243243243243
30018,1.3157894736842106
30079,1.2820512820512822
30156,1.275
30437,1.2439024390243902
30535,1.2380952380952381
30608,1.2325581395348837
30670,1.2045454545454546
30732,1.1777777777777778
